Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6758733,MDG_0000000001,COUNTRY,HUN,EUR,YEAR,Europe,SEX,1976,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.5 [31.7-33.3],32.496231497,31.71658789,33.295567707,,2025-04-15T15:49:27.583+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6759556,MDG_0000000001,COUNTRY,CAN,AMR,YEAR,Americas,SEX,1950,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,41.1 [39.9-42.4],41.091153173,39.876086698,42.40335198,,2025-04-15T15:49:27.583+02:00,1950,1950-01-01T00:00:00+01:00,1950-12-31T00:00:00+01:00
6759758,MDG_0000000001,COUNTRY,NER,AFR,YEAR,Africa,SEX,1979,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,132.6 [121.7-144.3],132.5844764,121.712368164,144.325059815,,2025-04-15T15:49:27.583+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
6759783,MDG_0000000001,COUNTRY,MCO,EUR,YEAR,Europe,SEX,2001,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.6 [3.4-3.9],3.612324528,3.381331818,3.861247301,,2025-04-15T15:49:27.583+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6759984,MDG_0000000001,UNICEFREGION,UNICEFREGIONSA,,YEAR,,SEX,2023,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,30.2 [27.4-33.6],30.247216224,27.448373412,33.606166574,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6760350,MDG_0000000001,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,SEX,1985,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,106.2 [83.9-137.3],106.246300379,83.861728207,137.335804887,,2025-04-15T15:49:27.583+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
6760354,MDG_0000000001,COUNTRY,AUS,WPR,YEAR,Western Pacific,SEX,2006,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.7 [4.6-4.7],4.651811452,4.561165266,4.745894158,,2025-04-15T15:49:27.583+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6760568,MDG_0000000001,REGION,SEAR,,YEAR,,SEX,1991,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,82.1 [79.9-84.6],82.136949801,79.899797426,84.569592719,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6760599,MDG_0000000001,COUNTRY,PRY,AMR,YEAR,Americas,SEX,1991,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,36.4 [32.5-40.7],36.369631257,32.455220848,40.693189019,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6760637,MDG_0000000001,COUNTRY,KHM,WPR,YEAR,Western Pacific,SEX,1984,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,79.3 [72.1-87.2],79.320744939,72.101561193,87.233098448,,2025-04-15T15:49:27.583+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
6761571,MDG_0000000001,COUNTRY,NGA,AFR,YEAR,Africa,SEX,2020,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,69.9 [53.4-93.5],69.926403396,53.383167216,93.543640167,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
