Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6383548,MDG_0000000001,COUNTRY,BRB,YEAR,AMR,Americas,SEX,SEX_FMLE,1971,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,35.1 [33.3-37.0],35.088443123,33.322216377,36.957432198,,2025-04-15T15:49:27.583+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
6383558,MDG_0000000001,COUNTRY,MSR,YEAR,AMR,Americas,SEX,SEX_MLE,1997,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.2 [9.0-19.2],13.240242275,8.980051003,19.247175506,,2025-04-15T15:49:27.583+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6383777,MDG_0000000001,REGION,WPR,YEAR,,,SEX,SEX_MLE,1999,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,31.6 [30.0-33.3],31.635850886,30.041710144,33.340106241,,2025-04-15T15:49:27.583+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
6384511,MDG_0000000001,COUNTRY,PRY,YEAR,AMR,Americas,SEX,SEX_MLE,1993,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,37.1 [32.3-42.1],37.061012939,32.349189171,42.103273316,,2025-04-15T15:49:27.583+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6384730,MDG_0000000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,SEX_BTSX,2005,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,81.4 [75.4-87.7],81.370593501,75.363513112,87.744179433,,2025-04-15T15:49:27.583+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6384894,MDG_0000000001,COUNTRY,PLW,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,1970,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,60.9 [43.7-83.8],60.901209038,43.685624615,83.84711234,,2025-04-15T15:49:27.583+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
6385686,MDG_0000000001,COUNTRY,GUY,YEAR,AMR,Americas,SEX,SEX_FMLE,1974,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,52.2 [45.0-60.9],52.169254411,45.048868013,60.879133625,,2025-04-15T15:49:27.583+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
6386255,MDG_0000000001,COUNTRY,AGO,YEAR,AFR,Africa,SEX,SEX_FMLE,2011,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,57.4 [37.1-83.0],57.364390605,37.145961197,82.994342196,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6386292,MDG_0000000001,COUNTRY,DMA,YEAR,AMR,Americas,SEX,SEX_MLE,1995,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.1 [14.9-17.4],16.11858743,14.936630655,17.376581484,,2025-04-15T15:49:27.583+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6386431,MDG_0000000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,SEX_MLE,2019,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.7 [2.4-3.1],2.736652758,2.427919401,3.092802731,"Some UN IGME indicators are calculated using population and live birth numbers from the World Population Prospects: The 2024 revision (WPP). The WPP numbers for Cyprus refer to the entire country. However, the underlying data used to calculate mortality rates estimates, provided by the Health Monitoring Unit of the Cyprus Ministry of Health, cover only the government-controlled areas, whereas according to Eurostat, the number of live births in 2023 was 10,295 (https://ec.europa.eu/eurostat/databrowser/view/tps00204/), the population on 1 January 2023 was 920,701 (https://ec.europa.eu/eurostat/databrowser/view/tps00001/), the population under 5 was 49,326,  adolescent population was 99,207 and the number of women of reproductive age was 235,268 (https://doi.org/10.2908/DEMO_PJAN).",2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6386434,MDG_0000000001,COUNTRY,ISR,YEAR,EUR,Europe,SEX,SEX_FMLE,2000,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,5.2 [5.0-5.4],5.202405115,5.048065516,5.367257825,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6386532,MDG_0000000001,COUNTRY,ECU,YEAR,AMR,Americas,SEX,SEX_MLE,1957,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,153.2 [119.8-197.7],153.247930314,119.820743917,197.666944812,,2025-04-15T15:49:27.583+02:00,1957,1957-01-01T00:00:00+01:00,1957-12-31T00:00:00+01:00
6386657,MDG_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2003,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,23.5 [22.1-24.8],23.450022142,22.147306601,24.837202486,,2025-04-15T15:49:27.583+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6386727,MDG_0000000001,UNSDGREGION,UNSDG_WESTERNASIA,YEAR,,,SEX,SEX_BTSX,1997,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,41.2 [39.7-42.9],41.21380497,39.747731186,42.890867887,,2025-04-15T15:49:27.583+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6386866,MDG_0000000001,MGHEREG,UNICEF_ROSA,YEAR,,,SEX,SEX_MLE,2000,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,70.7 [68.7-72.7],70.661426125,68.747908699,72.726370304,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6386917,MDG_0000000001,COUNTRY,TUR,YEAR,EUR,Europe,SEX,SEX_MLE,2000,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.7 [29.9-35.8],32.656045588,29.893263959,35.815228892,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6386939,MDG_0000000001,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,SEX,SEX_BTSX,2013,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,14.7 [14.3-15.2],14.701133477,14.299109771,15.193202624,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6387108,MDG_0000000001,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,1958,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,205.4 [162.1-263.5],205.388435225,162.067848028,263.525532317,,2025-04-15T15:49:27.583+02:00,1958,1958-01-01T00:00:00+01:00,1958-12-31T00:00:00+01:00
6387262,MDG_0000000001,COUNTRY,VGB,YEAR,AMR,Americas,SEX,SEX_MLE,1970,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,46.5 [38.3-56.2],46.50372577,38.347881761,56.210113528,,2025-04-15T15:49:27.583+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
6387337,MDG_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,SEX,SEX_MLE,2009,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,79.6 [73.4-86.6],79.592858803,73.426415822,86.604500615,,2025-04-15T15:49:27.583+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6387348,MDG_0000000001,COUNTRY,GHA,YEAR,AFR,Africa,SEX,SEX_FMLE,1983,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,80.5 [75.6-85.8],80.535599052,75.595949934,85.824058341,,2025-04-15T15:49:27.583+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
6387504,MDG_0000000001,MGHEREG,UNICEF_LACRO,YEAR,,,SEX,SEX_FMLE,2000,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,24.1 [23.3-25.0],24.11793332,23.335753357,24.960506049,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
