Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8973935,MDG_0000000001,COUNTRY,LCA,YEAR,AMR,Americas,SEX,SEX_FMLE,1958,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,87.7 [82.6-93.1],87.669044033,82.584828784,93.139832441,,2025-04-15T15:49:27.583+02:00,1958,1958-01-01T00:00:00+01:00,1958-12-31T00:00:00+01:00
8973977,MDG_0000000001,COUNTRY,SWZ,YEAR,AFR,Africa,SEX,SEX_BTSX,2022,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.6 [30.9-66.2],44.611444903,30.945282845,66.154597223,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8974199,MDG_0000000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,1996,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,5.6 [5.5-5.7],5.558908437,5.454074287,5.665802648,,2025-04-15T15:49:27.583+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
8975068,MDG_0000000001,COUNTRY,LSO,YEAR,AFR,Africa,SEX,SEX_BTSX,1960,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,137.7 [126.0-149.9],137.745683968,126.045124644,149.853904949,,2025-04-15T15:49:27.583+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
8975914,MDG_0000000001,COUNTRY,NOR,YEAR,EUR,Europe,SEX,SEX_BTSX,1990,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.0 [6.8-7.3],7.015947797,6.790219718,7.258799964,,2025-04-15T15:49:27.583+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
8977188,MDG_0000000001,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,1999,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,10.9 [10.3-11.5],10.868161557,10.274602595,11.471290143,,2025-04-15T15:49:27.583+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
8977641,MDG_0000000001,COUNTRY,TJK,YEAR,EUR,Europe,SEX,SEX_BTSX,1993,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,83.4 [76.4-91.2],83.434069456,76.41334555,91.157284911,,2025-04-15T15:49:27.583+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
8977686,MDG_0000000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2017,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.5 [3.4-3.6],3.487882182,3.392052585,3.584456285,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8977720,MDG_0000000001,COUNTRY,HRV,YEAR,EUR,Europe,SEX,SEX_MLE,2001,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.5 [7.2-7.9],7.535267815,7.212072111,7.875522585,,2025-04-15T15:49:27.583+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
8977759,MDG_0000000001,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,1976,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,54.6 [50.7-58.7],54.588698221,50.69156748,58.706538492,,2025-04-15T15:49:27.583+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
8978288,MDG_0000000001,COUNTRY,CRI,YEAR,AMR,Americas,SEX,SEX_MLE,1951,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,97.1 [89.4-105.5],97.144759626,89.390353676,105.501681019,,2025-04-15T15:49:27.583+02:00,1951,1951-01-01T00:00:00+01:00,1951-12-31T00:00:00+01:00
