Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2159336,MDG_0000000001,COUNTRY,MDV,YEAR,SEAR,South-East Asia,SEX,1963,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,235.2 [183.3-303.1],235.227226792,183.320995574,303.051798275,,2026-08-04T15:40:44.863+02:00,1963,1963-01-01T00:00:00+01:00,1963-12-31T00:00:00+01:00
2159748,MDG_0000000001,COUNTRY,MHL,YEAR,WPR,Western Pacific,SEX,1971,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,62.2 [53.7-71.5],62.152931682,53.696306475,71.522218917,,2026-08-04T15:40:44.863+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
2159831,MDG_0000000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,2021,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,71.2 [58.2-87.8],71.207031659,58.171391107,87.808274512,,2026-08-04T15:40:44.863+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2159938,MDG_0000000001,UNSDGREGION,UNSDG_EUROPE,YEAR,,,SEX,2003,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,8.6 [8.5-8.7],8.595713953,8.48821116,8.70897063,,2026-08-04T15:40:44.863+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
2159995,MDG_0000000001,UNSDGREGION,UNSDG_NORTHAFR,YEAR,,,SEX,2005,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,36.5 [34.6-38.6],36.513441758,34.574982415,38.599240525,,2026-08-04T15:40:44.863+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2160181,MDG_0000000001,COUNTRY,TCA,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,6.4 [5.4-7.6],6.392104461,5.421618068,7.593318988,,2026-08-04T15:40:44.863+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2160304,MDG_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,SEX,1967,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,175.9 [157.4-196.1],175.858599044,157.400141229,196.1225839,,2026-08-04T15:40:44.863+02:00,1967,1967-01-01T00:00:00+01:00,1967-12-31T00:00:00+01:00
2160489,MDG_0000000001,COUNTRY,MHL,YEAR,WPR,Western Pacific,SEX,2023,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,23.4 [13.3-41.2],23.374091894,13.261527158,41.180426901,,2026-08-04T15:40:44.863+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2160526,MDG_0000000001,COUNTRY,BWA,YEAR,AFR,Africa,SEX,1998,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.1 [33.2-65.1],44.121731614,33.202646948,65.113267732,,2026-08-04T15:40:44.863+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
2160681,MDG_0000000001,COUNTRY,TZA,YEAR,AFR,Africa,SEX,1955,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,122.5 [105.6-141.8],122.464856068,105.635337115,141.768029629,,2026-08-04T15:40:44.863+02:00,1955,1955-01-01T00:00:00+01:00,1955-12-31T00:00:00+01:00
2161003,MDG_0000000001,COUNTRY,MDA,YEAR,EUR,Europe,SEX,1992,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,26.7 [22.2-31.9],26.656049554,22.163682819,31.892678817,,2026-08-04T15:40:44.863+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
