Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3851344,MDG_0000000001,COUNTRY,USA,YEAR,AMR,Americas,SEX,1996,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,8.4 [8.3-8.6],8.432739724,8.276010036,8.582695975,,2026-08-04T15:40:44.863+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
3851671,MDG_0000000001,UNSDGREGION,UNSDG_EASTERNASIA,YEAR,,,SEX,1992,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,41.6 [38.7-44.9],41.615442622,38.696989573,44.856314616,,2026-08-04T15:40:44.863+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
3851774,MDG_0000000001,COUNTRY,TUR,YEAR,EUR,Europe,SEX,2016,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,10.5 [9.7-11.3],10.489531679,9.701286567,11.284626336,,2026-08-04T15:40:44.863+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3851904,MDG_0000000001,MGHEREG,UNICEF_LACRO,YEAR,,,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.9 [13.5-14.5],13.936137554,13.525831805,14.478138164,,2026-08-04T15:40:44.863+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3851969,MDG_0000000001,COUNTRY,GMB,YEAR,AFR,Africa,SEX,1982,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,121.3 [107.7-138.9],121.340843896,107.662121478,138.917279774,,2026-08-04T15:40:44.863+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
3851972,MDG_0000000001,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,SEX,2012,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.7 [15.3-20.4],17.656735742,15.347281013,20.426895327,,2026-08-04T15:40:44.863+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3852108,MDG_0000000001,COUNTRY,DMA,YEAR,AMR,Americas,SEX,1962,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,69.7 [65.9-73.7],69.72253759,65.89971268,73.655670645,,2026-08-04T15:40:44.863+02:00,1962,1962-01-01T00:00:00+01:00,1962-12-31T00:00:00+01:00
3852679,MDG_0000000001,COUNTRY,ZWE,YEAR,AFR,Africa,SEX,2001,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,64.7 [58.4-71.8],64.658608089,58.360099505,71.781111993,,2026-08-04T15:40:44.863+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
3852995,MDG_0000000001,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,2002,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.4 [16.5-22.7],19.414434602,16.531903365,22.739969366,,2026-08-04T15:40:44.863+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3853066,MDG_0000000001,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,SEX,1989,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.8 [29.6-36.3],32.7900349,29.61340286,36.301617525,,2026-08-04T15:40:44.863+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
3853748,MDG_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,SEX,1963,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,163.4 [148.2-181.3],163.449810745,148.195075479,181.268177992,,2026-08-04T15:40:44.863+02:00,1963,1963-01-01T00:00:00+01:00,1963-12-31T00:00:00+01:00
3853870,MDG_0000000001,COUNTRY,NRU,YEAR,WPR,Western Pacific,SEX,2012,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,23.2 [18.6-28.8],23.197380056,18.608283664,28.784331411,,2026-08-04T15:40:44.863+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3853936,MDG_0000000001,COUNTRY,CAF,YEAR,AFR,Africa,SEX,1986,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,119.0 [105.6-133.8],119.035203671,105.627334378,133.788627413,,2026-08-04T15:40:44.863+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
3853965,MDG_0000000001,COUNTRY,SYC,YEAR,AFR,Africa,SEX,1960,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,71.7 [62.8-82.1],71.718587578,62.80320323,82.116820446,,2026-08-04T15:40:44.863+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
3854035,MDG_0000000001,COUNTRY,COK,YEAR,WPR,Western Pacific,SEX,1969,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,47.9 [39.1-59.1],47.920678421,39.056283702,59.058928905,,2026-08-04T15:40:44.863+02:00,1969,1969-01-01T00:00:00+01:00,1969-12-31T00:00:00+01:00
3854137,MDG_0000000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.3 [3.2-3.5],3.302804887,3.152569221,3.462029405,,2026-08-04T15:40:44.863+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3854216,MDG_0000000001,COUNTRY,SVN,YEAR,EUR,Europe,SEX,1999,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.3 [4.1-4.6],4.330801873,4.052944139,4.611863376,,2026-08-04T15:40:44.863+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
3854233,MDG_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,1979,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,54.2 [47.3-61.8],54.155344855,47.294816049,61.754249632,,2026-08-04T15:40:44.863+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
3854571,MDG_0000000001,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,1967,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,82.1 [75.3-89.9],82.115965587,75.281173262,89.857484909,,2026-08-04T15:40:44.863+02:00,1967,1967-01-01T00:00:00+01:00,1967-12-31T00:00:00+01:00
3854795,MDG_0000000001,COUNTRY,SRB,YEAR,EUR,Europe,SEX,2002,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,9.9 [9.5-10.2],9.862548605,9.54778527,10.184691336,,2026-08-04T15:40:44.863+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3854830,MDG_0000000001,COUNTRY,BOL,YEAR,AMR,Americas,SEX,2022,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,15.6 [12.0-20.1],15.58070624,12.012649063,20.111954293,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3854894,MDG_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,SEX,1978,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,120.3 [110.3-131.3],120.322751183,110.254845457,131.297275326,,2026-08-04T15:40:44.863+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
3855225,MDG_0000000001,COUNTRY,SWE,YEAR,EUR,Europe,SEX,1975,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.6 [7.4-7.9],7.647402175,7.404897102,7.894645943,,2026-08-04T15:40:44.863+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
3855234,MDG_0000000001,COUNTRY,VGB,YEAR,AMR,Americas,SEX,2011,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,14.6 [11.0-19.3],14.567280513,11.035438995,19.345326357,,2026-08-04T15:40:44.863+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3855359,MDG_0000000001,COUNTRY,USA,YEAR,AMR,Americas,SEX,2010,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,5.6 [5.5-5.7],5.638525265,5.547445521,5.730012941,,2026-08-04T15:40:44.863+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3855366,MDG_0000000001,COUNTRY,MSR,YEAR,AMR,Americas,SEX,2003,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.8 [6.9-20.2],11.84109574,6.931678097,20.183170049,,2026-08-04T15:40:44.863+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
3855697,MDG_0000000001,MGHEREG,UNICEF_LACRO,YEAR,,,SEX,2004,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,22.5 [21.9-23.1],22.451564365,21.906628025,23.085459151,,2026-08-04T15:40:44.863+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3855815,MDG_0000000001,COUNTRY,LAO,YEAR,WPR,Western Pacific,SEX,1983,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,136.4 [121.0-153.1],136.431264786,120.953799522,153.104289009,,2026-08-04T15:40:44.863+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
3856038,MDG_0000000001,MGHEREG,UNICEF_ESARO,YEAR,,,SEX,1997,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,100.8 [98.2-103.9],100.840507849,98.19364971,103.87086707,,2026-08-04T15:40:44.863+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
3856524,MDG_0000000001,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,1983,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,102.7 [97.3-108.4],102.686228702,97.287105541,108.434335664,,2026-08-04T15:40:44.863+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
3856734,MDG_0000000001,COUNTRY,KHM,YEAR,WPR,Western Pacific,SEX,2021,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,18.4 [9.8-33.9],18.418393356,9.776907586,33.88265095,,2026-08-04T15:40:44.863+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3857029,MDG_0000000001,UNSDGREGION,UNSDG_SOUTHEASTERNASIA,YEAR,,,SEX,1991,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,46.4 [44.9-48.1],46.446291814,44.929642298,48.122022551,,2026-08-04T15:40:44.863+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
3857064,MDG_0000000001,COUNTRY,DMA,YEAR,AMR,Americas,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,30.5 [26.3-35.4],30.517416277,26.324860935,35.399990977,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3857243,MDG_0000000001,COUNTRY,MUS,YEAR,AFR,Africa,SEX,2009,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.6 [10.9-12.3],11.594936435,10.887318414,12.346287898,,2026-08-04T15:40:44.863+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
3857256,MDG_0000000001,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,1966,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,56.5 [44.2-72.3],56.462268419,44.215615176,72.324523099,,2026-08-04T15:40:44.863+02:00,1966,1966-01-01T00:00:00+01:00,1966-12-31T00:00:00+01:00
3857265,MDG_0000000001,COUNTRY,FIN,YEAR,EUR,Europe,SEX,1962,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.5 [19.1-19.9],19.479419779,19.106882054,19.863336857,,2026-08-04T15:40:44.863+02:00,1962,1962-01-01T00:00:00+01:00,1962-12-31T00:00:00+01:00
3857308,MDG_0000000001,COUNTRY,COL,YEAR,AMR,Americas,SEX,1962,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,91.3 [83.7-99.7],91.322795316,83.724117966,99.718892579,,2026-08-04T15:40:44.863+02:00,1962,1962-01-01T00:00:00+01:00,1962-12-31T00:00:00+01:00
