Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1592261,WHOSIS_000001,COUNTRY,GRD,AMR,YEAR,Americas,SEX,SEX_MLE,2016,,,,,,,70.1 [69.9-70.5],70.09838641,69.878562,70.5185492,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1593705,WHOSIS_000001,COUNTRY,ISR,EUR,YEAR,Europe,SEX,SEX_BTSX,2013,,,,,,,81.9 [81.9-82.0],81.92176085,81.90045898,82.00563769,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1598669,WHOSIS_000001,COUNTRY,VNM,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2002,,,,,,,72.1 [71.6-72.6],72.06004934,71.64905147,72.59279258,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1598918,WHOSIS_000001,COUNTRY,CPV,AFR,YEAR,Africa,SEX,SEX_FMLE,2002,,,,,,,75.7 [75.0-76.4],75.65082987,74.97245282,76.35944381,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1599150,WHOSIS_000001,COUNTRY,PRT,EUR,YEAR,Europe,SEX,SEX_BTSX,2020,,,,,,,80.8 [80.8-80.9],80.81837464,80.81303622,80.89692429,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1599322,WHOSIS_000001,COUNTRY,STP,AFR,YEAR,Africa,SEX,SEX_FMLE,2010,,,,,,,70.0 [69.5-70.4],69.9799073,69.52571417,70.39566876,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1599502,WHOSIS_000001,REGION,AMR,,YEAR,,SEX,SEX_FMLE,2007,,,,,,,78.6 [78.5-78.7],78.57729238,78.4514733,78.74570035,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1600251,WHOSIS_000001,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2010,,,,,,,69.6 [68.8-70.4],69.63564203,68.80164591,70.38250855,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1600537,WHOSIS_000001,REGION,AFR,,YEAR,,SEX,SEX_BTSX,2009,,,,,,,58.8 [58.1-59.6],58.84133306,58.08302664,59.63644347,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1600549,WHOSIS_000001,COUNTRY,GBR,EUR,YEAR,Europe,SEX,SEX_MLE,2005,,,,,,,76.8 [76.7-76.9],76.80584215,76.74873665,76.86294764,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1601212,WHOSIS_000001,COUNTRY,TJK,EUR,YEAR,Europe,SEX,SEX_FMLE,2018,,,,,,,75.1 [74.7-75.7],75.1254838,74.66358835,75.65258295,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1604715,WHOSIS_000001,COUNTRY,BFA,AFR,YEAR,Africa,SEX,SEX_MLE,2006,,,,,,,54.2 [53.3-55.1],54.20195779,53.33682193,55.10315137,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1605923,WHOSIS_000001,COUNTRY,WSM,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2007,,,,,,,68.9 [68.1-69.5],68.85035598,68.14402319,69.4998598,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1607145,WHOSIS_000001,COUNTRY,BEN,AFR,YEAR,Africa,SEX,SEX_MLE,2002,,,,,,,56.1 [55.3-57.0],56.07998218,55.27257761,57.01421086,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1608170,WHOSIS_000001,COUNTRY,SGP,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2013,,,,,,,84.5 [84.5-84.6],84.50129973,84.4820705,84.58965578,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
